,price,sqft_living,sqft_lot,yr_built,bedrooms,bathrooms,floors,renovated_2000_1,grade_11 Excellent,grade_12 Luxury,grade_13 Mansion,grade_3 Poor,grade_4 Low,grade_5 Fair,grade_6 Low Average,grade_7 Average,grade_8 Good,grade_9 Better,condition_Fair,condition_Good,condition_Poor,condition_Very Good,view_EXCELLENT,view_FAIR,view_GOOD,view_NONE,waterfront_YES
0,221900.0,1180,5650,1955,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,538000.0,2570,7242,1951,3,2.25,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,180000.0,770,10000,1933,2,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,604000.0,1960,5000,1965,4,3.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
4,510000.0,1680,8080,1987,3,2.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,1230000.0,5420,101930,2001,4,4.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,257500.0,1715,6819,1995,3,2.25,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,229500.0,1780,7470,1960,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,323000.0,1890,6560,2003,3,2.5,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10,662500.0,3560,9796,1965,3,2.5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,468000.0,1160,6000,1942,2,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
12,310000.0,1430,19901,1927,3,1.0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
13,400000.0,1370,9680,1977,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
14,530000.0,1810,4850,1900,5,2.0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15,650000.0,2950,5000,1979,4,3.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,395000.0,1890,14040,1994,3,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17,485000.0,1600,4300,1916,4,1.0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
18,189000.0,1200,9850,1921,2,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
19,230000.0,1250,9774,1969,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,385000.0,1620,4980,1947,4,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
21,2000000.0,3050,44867,1968,3,2.75,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,285000.0,2270,6300,1995,5,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,252700.0,1070,9643,1985,2,1.5,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
24,329000.0,2450,6500,1985,3,2.25,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
25,233000.0,1710,4697,1941,3,2.0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
26,937000.0,2450,2691,1915,3,1.75,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,667000.0,1400,1581,1909,3,1.0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
28,438000.0,1520,6380,1948,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,719000.0,2570,7173,2005,4,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30,580500.0,2320,3980,2003,3,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31,280000.0,1190,1265,2005,2,1.5,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,687500.0,2330,5000,1929,4,1.75,1.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
33,535000.0,1090,3000,1929,3,1.0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
34,322500.0,2060,6659,1981,4,2.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,696000.0,2300,3060,1930,3,2.5,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,550000.0,1660,34848,1933,4,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
37,640000.0,2360,6000,1904,4,2.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
38,240000.0,1220,8075,1969,4,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
39,605000.0,2620,7553,1996,4,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,625000.0,2570,5520,2000,4,2.5,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41,775000.0,4220,24186,1984,4,2.25,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,861990.0,3595,5639,2014,5,2.75,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
43,685000.0,1570,2280,1922,3,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,309000.0,1280,9656,1959,3,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
45,488000.0,3160,13603,2003,3,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
46,210490.0,990,8528,1966,3,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
47,785000.0,2290,13416,1981,4,2.5,2.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
48,450000.0,1250,5963,1953,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
49,1350000.0,2753,65005,1953,3,2.5,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
50,228000.0,1190,9199,1955,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
51,345000.0,3150,9134,1966,5,2.5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
52,600000.0,1410,4080,1950,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
53,585000.0,1980,8550,1981,2,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
54,920000.0,2730,6000,1927,5,2.25,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
55,885000.0,2830,5000,1995,4,2.5,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
56,292500.0,2250,4495,2008,4,2.5,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,301000.0,2420,4750,2003,3,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
58,951000.0,3250,14342,1968,5,3.25,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
59,430000.0,1850,9976,1991,4,3.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60,650000.0,2150,21235,1959,3,2.25,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
61,289000.0,1260,8400,1954,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62,505000.0,2519,8690,1973,3,1.75,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
63,549000.0,1540,1044,2014,3,1.75,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
64,425000.0,1660,6000,1979,3,2.25,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65,317625.0,2770,3809,1925,3,2.75,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
66,975000.0,2720,11049,1989,4,2.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,287000.0,2240,4648,2005,4,2.5,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,204000.0,1000,12070,1968,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
69,1330000.0,3200,20158,1965,5,2.25,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,1040000.0,4770,50094,1973,5,3.25,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
71,325000.0,1260,5612,1972,3,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
72,571000.0,2750,7807,1916,4,2.0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
73,360000.0,2380,5000,2005,4,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
74,349000.0,1790,50529,1965,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
75,832500.0,3430,35102,1986,4,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
76,380000.0,1760,7300,1956,4,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
77,480000.0,1040,5060,1941,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78,410000.0,1410,5060,1956,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
79,720000.0,3450,39683,2002,4,2.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,390000.0,2350,5100,2003,3,2.5,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
81,360000.0,1900,5889,1992,4,2.5,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
82,355000.0,2020,6720,1948,2,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
83,356000.0,1680,8712,1964,3,1.5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
84,315000.0,960,6634,1952,3,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
85,940000.0,2140,3600,1925,3,1.5,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
86,305000.0,2660,8400,1961,5,2.25,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
87,461000.0,2770,6278,2006,3,3.25,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
88,215000.0,1610,2040,1979,2,2.25,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
89,335000.0,1030,1066,2006,2,1.75,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
90,243500.0,1980,7403,1988,4,2.5,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
91,1100000.0,3520,6353,2001,5,2.75,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
92,153000.0,1200,10500,1962,3,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
93,430000.0,1580,5000,1939,3,1.5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
94,700000.0,1580,5000,1939,3,1.5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
95,905000.0,3300,10250,1946,4,2.5,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
96,247500.0,1960,15681,1967,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
97,199000.0,1160,6400,1975,4,1.5,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
98,314000.0,1810,41800,1980,3,1.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
99,437500.0,2320,36847,1992,3,2.5,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,850830.0,2070,13241,1910,3,2.5,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
101,555000.0,1980,3478,1929,3,2.0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
